epoch,loss,val_loss
1,0.10746406763792038,0.09005716443061829
2,0.08154391497373581,0.07290717959403992
3,0.06259195506572723,0.05739845335483551
4,0.04647468030452728,0.044733043760061264
5,0.03441225737333298,0.03487671911716461
6,0.025614211335778236,0.026923300698399544
7,0.01884494349360466,0.020193133503198624
8,0.013442995958030224,0.014548318460583687
9,0.009294576942920685,0.010222640819847584
10,0.006387232802808285,0.007239343132823706
11,0.004511942155659199,0.0053110322915017605
12,0.0033719053026288748,0.004118992947041988
13,0.00270016398280859,0.003393217222765088
14,0.002291626762598753,0.0029382582288235426
15,0.0020296238362789154,0.002642083680257201
16,0.0018561304314062,0.0024448814801871777
17,0.0017402207013219595,0.002311194082722068
18,0.0016627544537186623,0.002219164976850152
19,0.001610609469935298,0.0021538271103054285
20,0.0015753842890262604,0.002106271917000413
21,0.0015512406826019287,0.002071202266961336
22,0.0015343097038567066,0.0020447936840355396
23,0.0015219779452309012,0.002022753469645977
24,0.0015125332865864038,0.0020052529871463776
25,0.0015051424270495772,0.0019905506633222103
26,0.0014991125790402293,0.001977961277589202
27,0.0014940467663109303,0.0019671835470944643
28,0.0014895729254931211,0.0019573417957872152
29,0.0014854822074994445,0.0019483525538817048
30,0.0014816464390605688,0.0019401316531002522
31,0.0014780380297452211,0.0019325303146615624
32,0.0014746076194569468,0.001925499178469181
33,0.0014712990960106254,0.0019189318409189582
34,0.0014681228203698993,0.0019128660205751657
35,0.001465069712139666,0.0019072757568210363
36,0.0014621353475376964,0.001902135438285768
37,0.0014592920197173953,0.001897339359857142
38,0.0014565339079126716,0.001892895670607686
39,0.0014538416871801019,0.0018886551260948181
40,0.0014512129127979279,0.0018846452003344893
41,0.0014486460713669658,0.0018808066379278898
42,0.0014461306855082512,0.0018771475879475474
43,0.001443661516532302,0.0018736611818894744
44,0.0014412450836971402,0.0018703279783949256
45,0.0014388723066076636,0.0018671249272301793
46,0.0014365357346832752,0.0018640585476532578
47,0.0014342389767989516,0.0018611781997606158
48,0.0014319795882329345,0.0018583983182907104
49,0.001429747324436903,0.001855693757534027
50,0.0014275432331487536,0.00185308326035738
51,0.001425366848707199,0.0018505525076761842
52,0.001423217006959021,0.0018480829894542694
53,0.001421099528670311,0.0018457283731549978
54,0.0014190133661031723,0.00184347084723413
55,0.0014169631758704782,0.001841306802816689
56,0.0014149388298392296,0.0018391888588666916
57,0.0014129452174529433,0.0018371758051216602
58,0.0014109753537923098,0.0018351443577557802
59,0.00140904460567981,0.0018332592444494367
60,0.0014071289915591478,0.0018314016051590443
61,0.0014052335172891617,0.0018295737681910396
62,0.0014033587649464607,0.001827774802222848
63,0.0014015039196237922,0.0018260037759318948
64,0.001399667002260685,0.0018242839723825455
65,0.0013978540664538741,0.0018225886160507798
66,0.001396059524267912,0.001820934354327619
67,0.00139428093098104,0.0018193185096606612
68,0.0013925182865932584,0.00181773048825562
69,0.001390772289596498,0.0018161560874432325
70,0.0013890331611037254,0.0018146139336749911
71,0.0013873170828446746,0.0018131040269508958
72,0.0013856039149686694,0.0018115706043317914
73,0.0013838510494679213,0.0018099929438903928
74,0.0013669399777427316,0.0016676251543685794
75,0.0011668461374938488,0.001224229927174747
76,0.0008635632111690938,0.0008796193869784474
77,0.0006781124975532293,0.0006878767162561417
78,0.0005823489045724273,0.0005942463176324964
79,0.0005378393107093871,0.000551596051082015
80,0.0005183457396924496,0.0005325853126123548
81,0.0005095670931041241,0.0005235093994997442
82,0.0005049523315392435,0.0005183705361559987
83,0.000501904112752527,0.000514713698066771
84,0.0004994319169782102,0.0005117111140862107
85,0.0004972032620571554,0.0005090946215204895
86,0.0004950882284902036,0.0005066170706413686
87,0.0004930678405798972,0.0005043791607022285
88,0.0004910735297016799,0.0005023070843890309
89,0.0004891089629381895,0.0005003298865631223
90,0.0004871826386079192,0.0004984394763596356
91,0.00048529019113630056,0.0004966608248651028
92,0.00048343141679652035,0.0004949750727973878
93,0.00048160096048377454,0.000493380764964968
94,0.00047978220391087234,0.0004918074118904769
95,0.0004779829760082066,0.0004902734071947634
96,0.00047619169345125556,0.0004888269468210638
97,0.00047446112148463726,0.0004873973084613681
98,0.0004727230698335916,0.0004860078333877027
99,0.0004709999484475702,0.00048465668805874884
100,0.0004692925722338259,0.0004833422426600009
101,0.00046759843826293945,0.00048203981714323163
102,0.0004659158585127443,0.00048077464452944696
103,0.00046424916945397854,0.00047953365719877183
104,0.0004625998844858259,0.00047830946277827024
105,0.0004609610768966377,0.0004771043313667178
106,0.00045933350338600576,0.00047591698239557445
107,0.0004577214131131768,0.00047475664177909493
108,0.00045612952089868486,0.0004736095143016428
109,0.00045454473001882434,0.0004724876780528575
110,0.00045297222095541656,0.0004713828966487199
111,0.000451417377917096,0.0004702972073573619
112,0.0004498741473071277,0.00046923349145799875
113,0.0004483554803300649,0.0004681672144215554
114,0.0004468361148610711,0.0004671638016588986
115,0.0004453337169252336,0.00046617529005743563
116,0.00044384488137438893,0.00046520025352947414
117,0.00044236727990210056,0.00046422690502367914
118,0.0004409048124216497,0.000463274511275813
119,0.0004394575662445277,0.00046233049943111837
120,0.0004380210884846747,0.0004614056961145252
121,0.0004366021021269262,0.00046049218508414924
122,0.00043519295286387205,0.00045959517592564225
123,0.0004337977443356067,0.00045871606562286615
124,0.0004324167384766042,0.00045785470865666866
125,0.00043104967335239053,0.0004570099990814924
126,0.00042969646165147424,0.00045618251897394657
127,0.0004283572197891772,0.0004553707840386778
128,0.00042703220969997346,0.0004545746778603643
129,0.00042572090751491487,0.0004537943168543279
130,0.00042442529229447246,0.00045301951467990875
131,0.00042314152233302593,0.00045226194197312
132,0.00042187204235233366,0.00045152116217650473
133,0.000420616619521752,0.00045079606934450567
134,0.00041937537025660276,0.000450086867203936
135,0.0004181480617262423,0.00044939309009350836
136,0.000416935101384297,0.00044871517457067966
137,0.00041574088390916586,0.0004480427014641464
138,0.0004145550774410367,0.0004473867593333125
139,0.00041338364826515317,0.00044674667879007757
140,0.00041222633444704115,0.0004461218195501715
141,0.00041108339792117476,0.0004455116286408156
142,0.0004099549842067063,0.00044491648441180587
143,0.00040884065674617887,0.0004443358047865331
144,0.00040774064837023616,0.00044376900768838823
145,0.0004066548717673868,0.00044321620953269303
146,0.0004055831814184785,0.00044267738121561706
147,0.00040452598477713764,0.0004421517951413989
148,0.0004034836310893297,0.0004416390147525817
149,0.0004024544032290578,0.0004411393019836396
150,0.00040143937803804874,0.00044065239490009844
151,0.0004004284564871341,0.0004402379272505641
152,0.0003994475118815899,0.0004397446755319834
153,0.0003984774521086365,0.000439269351772964
154,0.00039752182783558965,0.00043880700832232833
155,0.00039658028981648386,0.0004383565974421799
156,0.0003956531290896237,0.00043791800271719694
157,0.00039474014192819595,0.00043749078758992255
158,0.0003938412992283702,0.0004370729729998857
159,0.0003929504891857505,0.00043665379052981734
160,0.0003920793242286891,0.0004362475883681327
161,0.00039122215821407735,0.0004358526784926653
162,0.00039037916576489806,0.00043546935194171965
163,0.00038954996853135526,0.00043509656097739935
164,0.0003887342754751444,0.00043473619734868407
165,0.0003879325231537223,0.00043438596185296774
166,0.00038715044502168894,0.000434036017395556
167,0.00038637491525150836,0.00043369721970520914
168,0.00038561286055482924,0.0004333681135904044
169,0.00038486436824314296,0.0004330490482971072
170,0.0003841293219011277,0.00043273865594528615
171,0.00038340737228281796,0.00043243751861155033
172,0.00038269878132268786,0.0004321458109188825
173,0.0003820028796326369,0.000431863620178774
174,0.0003813200746662915,0.00043159082997590303
175,0.00038065019180066884,0.0004313270910643041
176,0.0003799926780629903,0.00043107179226353765
177,0.0003793526557274163,0.00043086562072858214
178,0.00037871216773055494,0.000430660234997049
179,0.00037808422348462045,0.0004304609028622508
180,0.0003774686192627996,0.00043026803177781403
181,0.000376865325961262,0.000430081388913095
182,0.00037627413985319436,0.0004299008287489414
183,0.0003756944788619876,0.00042972544906660914
184,0.0003751269250642508,0.000429556384915486
185,0.0003745706344489008,0.0004293933161534369
186,0.0003740258689504117,0.00042923627188429236
187,0.00037349259946495295,0.0004290849610697478
188,0.0003729700401891023,0.00042893909267149866
189,0.00037245856947265565,0.00042879898683167994
190,0.0003719579253811389,0.0004286640614736825
191,0.000371467845980078,0.00042853402555920184
192,0.0003709884185809642,0.0004284088499844074
193,0.0003705192939378321,0.00042829191079363227
194,0.00037006023922003806,0.00042819208465516567
195,0.00036961131263524294,0.0004280970897525549
196,0.00036917213583365083,0.0004280202556401491
197,0.00036874288343824446,0.0004279484273865819
198,0.00036831898614764214,0.0004278563428670168
199,0.00036793065373785794,0.00042778332135640085
200,0.0003675607731565833,0.00042771678999997675
