time,DTI,GTI,TA,TPV,Ia,Ig,Eg,Fg,Pg,Va,Vg,Fault
2021-10-28 12:35:00+00:00,160.90962962962962,232.83333333333334,27.386222222222223,31.059185185185182,1.145,0.9216666666666667,7.9925999999999995,49.18533333333333,222.51666666666668,186.25,227.16666666666666,0.0
2021-10-28 12:40:00+00:00,199.746,235.82200000000003,27.51153333333333,31.6823,1.4833333333333334,1.13,8.0038,50.018166666666666,275.9166666666667,189.58333333333334,232.05,0.0
2021-10-28 12:45:00+00:00,176.86333333333334,183.12466666666668,26.819166666666668,31.889133333333334,1.1700000000000002,0.93,8.0138,50.00983333333333,226.45,185.85,231.66666666666666,0.0
2021-10-28 12:50:00+00:00,129.183,156.10600000000002,26.769,31.02183333333333,0.8833333333333333,0.7416666666666667,8.020000000000001,50.01766666666666,181.86666666666667,187.93333333333334,231.88333333333333,0.0
2021-10-28 12:55:00+00:00,105.94433333333333,241.44366666666667,27.50133333333333,30.573133333333335,1.0702702702702702,0.8945945945945947,8.025081081081082,50.02648648648649,218.86486486486487,191.75675675675674,232.86486486486487,0.0
2021-10-29 03:00:00+00:00,55.651999999999994,58.3788,21.7775,22.381533333333334,0.5783333333333333,0.4533333333333333,0.0005,49.90316666666667,115.3,192.56666666666666,233.53333333333333,0.0
2021-10-29 03:05:00+00:00,78.69286666666667,81.25506666666666,21.843233333333334,22.80196666666667,0.7,0.6016666666666667,0.004766666666666667,49.9025,150.03333333333333,194.08333333333334,233.43333333333334,0.0
2021-10-29 03:10:00+00:00,81.5171,85.09283333333333,21.938299999999998,23.370533333333334,0.7133333333333333,0.6033333333333333,0.00975,49.915333333333336,151.35,193.86666666666667,233.01666666666668,0.0
2021-10-29 03:15:00+00:00,50.99543333333333,53.33056666666667,21.997133333333334,23.289833333333334,0.5516666666666666,0.42,0.012949999999999998,49.972,107.8,192.28333333333333,233.0,0.0
2021-10-29 04:05:00+00:00,54.83546666666666,58.29703333333334,21.372133333333334,22.380466666666667,0.6116666666666666,0.495,0.0138,49.984500000000004,123.38333333333334,190.88333333333333,231.4,0.0
2021-10-29 04:10:00+00:00,88.96146666666667,93.13026666666667,21.633233333333333,23.16443333333333,0.7433333333333334,0.6583333333333333,0.018333333333333333,49.996,162.68333333333334,194.68333333333334,231.85,0.0
2021-10-29 04:15:00+00:00,105.14633333333335,111.03033333333333,21.760233333333332,23.81736666666667,0.8300000000000001,0.7200000000000001,0.02333333333333333,49.99333333333333,176.95,195.33333333333334,232.0,0.0
2021-10-29 04:20:00+00:00,133.75199999999998,139.781,21.8533,24.38233333333333,1.1166666666666667,0.9166666666666666,0.029133333333333334,49.98533333333333,222.78333333333333,190.11666666666667,231.75,0.0
2021-10-29 04:25:00+00:00,173.81366666666665,183.66433333333333,22.1343,25.279799999999998,1.5166666666666666,1.1900000000000002,0.039466666666666664,49.991,286.55,194.88333333333333,231.93333333333334,0.0
2021-10-29 04:30:00+00:00,237.32466666666664,255.84033333333335,22.2654,26.208566666666666,2.23,1.7983333333333333,0.0566,49.992333333333335,429.4166666666667,196.61666666666667,232.48333333333332,0.0
2021-10-29 04:35:00+00:00,292.8276666666667,347.54,22.592566666666666,29.5376,3.0616666666666665,2.385,0.08879999999999999,50.004333333333335,564.8,197.01666666666668,231.8,0.0
2021-10-29 04:40:00+00:00,300.40433333333334,399.05066666666664,22.987233333333332,33.65696666666667,3.4116666666666666,2.645,0.1312,49.99783333333333,626.0666666666667,194.48333333333332,232.03333333333333,0.0
2021-10-29 04:45:00+00:00,259.9976666666667,311.4096666666666,23.3156,35.850966666666665,2.631666666666667,2.018333333333333,0.17053333333333331,50.01466666666667,478.3333333333333,191.11666666666667,230.51666666666668,0.0
2021-10-29 04:50:00+00:00,276.753,298.16700000000003,23.5842,35.8337,2.61,2.0,0.20106666666666667,49.98166666666667,473.85,190.98333333333332,230.65,0.0
2021-10-29 04:55:00+00:00,321.798,347.553,23.654,36.13803333333333,3.0366666666666666,2.3033333333333332,0.23546666666666666,49.99066666666667,545.6,192.25,231.01666666666668,0.0
2021-10-29 05:00:00+00:00,294.97933333333333,309.7186666666667,23.655266666666666,35.8673,2.705,2.086666666666667,0.26993333333333336,49.97616666666667,494.28333333333336,191.58333333333334,230.88333333333333,0.0
2021-10-29 05:05:00+00:00,321.4746666666666,341.2736666666667,23.719666666666665,35.9863,3.046666666666667,2.3183333333333334,0.30366666666666664,49.9645,548.0,191.81666666666666,230.86666666666667,0.0
2021-10-29 05:10:00+00:00,293.75966666666665,315.361,23.814133333333334,35.3278,2.728333333333333,2.11,0.34086666666666665,49.949333333333335,499.35,192.81666666666666,230.36666666666667,0.0
2021-10-29 05:15:00+00:00,207.57366666666667,218.50466666666665,23.750333333333334,34.080466666666666,1.785,1.3900000000000001,0.36733333333333335,49.94433333333333,331.5,190.7,230.13333333333333,0.0
2021-10-29 05:20:00+00:00,132.04933333333335,137.50666666666666,23.552866666666667,31.97103333333333,1.035,0.8316666666666667,0.37886666666666663,49.94133333333333,200.8,184.71666666666667,229.6,0.0
2021-10-29 05:25:00+00:00,169.41133333333335,181.83033333333333,23.368033333333333,28.523833333333332,1.4366666666666668,1.1533333333333333,0.38553333333333334,49.94533333333333,277.06666666666666,189.6,229.96666666666667,0.0
2021-10-29 05:30:00+00:00,289.95,322.47566666666665,23.359399999999997,28.4011,2.716666666666667,2.1766666666666667,0.40593333333333337,49.95916666666667,513.9833333333333,196.15,230.2,0.0
2021-10-29 05:35:00+00:00,408.6743333333333,485.16833333333335,23.7607,33.30103333333333,3.895,3.04,0.45186666666666664,49.99966666666667,716.1,194.53333333333333,230.96666666666667,0.0
2021-10-29 05:40:00+00:00,349.015,565.5956666666667,24.100966666666668,37.126733333333334,4.87,3.8316666666666666,0.5033333333333333,50.039833333333334,902.0,193.25,232.16666666666666,0.0
2021-10-29 05:45:00+00:00,431.155,705.0043333333333,24.625733333333333,42.13543333333333,5.588333333333334,4.201666666666666,0.5749333333333334,50.062666666666665,989.8333333333334,188.48333333333332,232.11666666666667,0.0
2021-10-29 05:50:00+00:00,490.5763333333333,583.345,25.072533333333332,44.43993333333333,4.475,3.365,0.6454000000000001,50.082,794.3833333333333,186.98333333333332,232.23333333333332,0.0
